GeneID	GSM6435443	GSM6435444	GSM6435445	GSM6435446	GSM6435447	GSM6435448	GSM6435449	GSM6435450	GSM6435451	GSM6435452	GSM6435453	GSM6435454	GSM6435455	GSM6435456
100287102	5	8	6	4	6	7	7	10	11	15	10	14	9	11
653635	1704	2203	2303	1918	2169	2123	2146	2030	2162	2618	2226	3015	2178	3585
102466751	45	50	64	47	52	46	49	45	58	60	46	57	35	51
107985730	7	21	15	17	21	22	15	16	9	19	17	14	19	34
100302278	2	2	3	4	6	3	4	4	4	5	2	2	2	2
645520	10	11	10	0	1	3	6	7	12	18	2	7	2	8
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	129	221	234	184	207	267	127	102	102	107	99	140	106	218
729737	640	755	688	316	300	435	522	486	845	1125	513	793	480	826
102725121	6	5	4	5	2	7	4	6	8	13	6	6	2	5
102723897	2011	2560	2819	2295	2470	2360	2260	2135	2393	2717	2434	3212	2396	4105
102465909	22	31	30	24	26	28	38	30	31	39	26	39	24	31
107985721	24	47	39	40	58	64	39	38	15	39	40	45	45	75
112268260	108	162	177	183	150	221	33	23	34	39	38	45	34	66
729759	5	7	5	1	1	2	0	0	1	0	0	1	0	1
100132287	434	564	528	244	239	339	761	662	1063	1255	775	1168	650	1077
105378947	24	29	27	31	21	37	2	0	3	1	3	3	4	5
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113219467	8729	10336	6791	2432	3164	4046	4483	3560	3241	4142	1828	3357	1890	2471
81399	29	42	43	23	21	32	5	7	13	10	6	12	8	9
100133331	389	575	510	207	223	298	526	447	700	837	561	813	426	722
107984841	87	136	124	49	62	102	156	118	170	167	120	182	96	148
107984847	100	190	178	61	64	102	279	256	299	378	235	311	184	323
107984849	32	56	41	16	16	21	60	45	74	114	32	77	33	70
100288069	115	161	158	109	115	133	106	77	96	104	74	115	54	142
105378580	48	95	87	118	72	171	102	71	90	122	71	80	84	133
400728	9	17	24	11	20	17	19	10	16	26	14	20	21	14
79854	68	72	69	127	75	138	123	125	159	156	81	98	97	110
643837	1141	1598	1815	2034	1875	2627	1209	983	816	1189	1327	1502	1174	1960
107984850	4	13	18	52	31	86	8	7	5	21	11	12	6	14
284593	4	8	7	5	3	4	2	5	4	6	1	4	3	8
284600	715	836	1055	667	721	788	602	607	607	864	581	695	574	782
100130417	510	589	558	347	399	365	350	464	552	739	295	657	333	473
107985728	337	465	237	90	82	91	280	333	404	514	139	476	158	292
148398	2285	2338	1376	694	799	635	1435	1898	2685	3686	970	3398	1176	2423
26155	4468	5476	5249	4171	4465	5028	5430	4907	5423	6309	4707	7129	4801	8108
339451	928	1092	1154	1546	1213	1067	682	993	1174	1579	1229	1327	913	1791
84069	6	8	9	8	4	8	10	11	10	17	13	21	14	23
84808	2	1	1	0	1	4	1	3	4	2	9	6	0	3
57801	818	670	903	1384	2067	1039	808	881	705	840	1905	984	1641	2258
9636	73	94	99	130	144	131	82	101	153	182	160	136	154	294
375790	6225	6073	7070	8569	7397	6369	4164	4678	5315	7543	7520	7316	5874	7690
100288175	62	54	43	69	67	94	72	83	98	139	40	74	55	75
112267874	33	41	30	31	45	50	23	20	27	35	17	13	14	21
105378948	79	109	88	134	119	134	107	106	122	161	79	94	84	84
401934	0	1	1	0	0	2	0	1	2	3	2	2	2	0
54991	571	664	880	953	984	626	424	524	556	695	1014	1117	848	1124
254099	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406984	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100506376	203	278	143	4	26	6	162	246	343	504	8	187	22	25
254173	343	402	200	6	30	4	213	386	546	785	6	332	31	32
8784	0	4	3	4	2	6	2	1	0	4	4	3	2	2
7293	2	7	7	17	3	7	6	5	3	11	5	3	5	8
51150	5327	6187	5660	4322	4454	4206	5497	5195	5861	6961	3921	6252	3902	6521
126792	1326	1611	1788	1263	1286	1163	1049	1126	1170	1594	1362	1857	1210	2203
388581	37	41	42	33	52	41	46	51	70	58	48	40	53	92
118424	1846	2097	2095	2068	2391	2027	1776	1864	2049	2500	2555	3018	2364	4152
101928895	235	299	234	224	155	202	182	165	239	287	143	180	145	189
6339	541	635	592	584	464	423	301	456	632	831	491	651	460	610
116983	4635	6254	7572	8187	6944	6182	3365	4187	4162	6391	6732	6644	4984	7870
102465434	3	1	4	3	4	5	2	1	5	2	6	4	4	5
109623456	54	86	100	124	88	80	33	56	61	80	67	67	53	59
126789	474	506	462	460	580	468	470	413	506	554	507	617	462	982
